Class,AUC,F1,Threshold
Atelectasis,0.6808712121212122,0.28125,0.5000000000000001
Cardiomegaly,0.6714975845410628,0.3076923076923077,0.5500000000000002
Consolidation,0.7515676321289937,0.3333333333333333,0.5000000000000001
Edema,0.8779181017986989,0.375,0.5500000000000002
Effusion,0.7261552469838379,0.32075471698113206,0.30000000000000004
Emphysema,0.7156862745098039,0.2,0.40000000000000013
Fibrosis,0.7132838283828383,0.3076923076923077,0.40000000000000013
Hernia,0.8881987577639752,0.6,0.7500000000000002
Infiltration,0.7245011971268954,0.41237113402061853,0.5000000000000001
Mass,0.7765182186234817,0.35555555555555557,0.45000000000000007
Nodule,0.6369949494949495,0.2608695652173913,0.5000000000000001
Pleural_Thickening,0.596947194719472,0.18604651162790697,0.30000000000000004
Pneumonia,0.5333333333333332,0.11764705882352941,0.6500000000000001
Pneumothorax,0.8150753768844221,0.3076923076923077,0.5000000000000001
