Class,AUC,F1,Threshold
Atelectasis,0.7549715909090908,0.33707865168539325,0.5500000000000002
Cardiomegaly,0.5762594893029676,0.21052631578947367,0.6000000000000002
Consolidation,0.800238877276799,0.39285714285714285,0.6000000000000002
Edema,0.8423268274014544,0.35,0.7000000000000002
Effusion,0.6840427953562486,0.32786885245901637,0.6500000000000001
Emphysema,0.6024509803921568,0.13333333333333333,0.45000000000000007
Fibrosis,0.7636138613861386,0.27586206896551724,0.6500000000000001
Hernia,0.8302277432712215,0.43478260869565216,0.6500000000000001
Infiltration,0.7371109337589785,0.4222222222222222,0.5500000000000002
Mass,0.7014844804318489,0.2962962962962963,0.45000000000000007
Nodule,0.6256313131313131,0.1875,0.5500000000000002
Pleural_Thickening,0.5643564356435644,0.21052631578947367,0.6000000000000002
Pneumonia,0.608130081300813,0.12658227848101267,0.45000000000000007
Pneumothorax,0.7896147403685092,0.3142857142857143,0.5500000000000002
