Class,AUC,F1,Threshold
Atelectasis,0.7374526515151515,0.35135135135135137,0.6500000000000001
Cardiomegaly,0.7612146307798482,0.23529411764705882,0.7000000000000002
Consolidation,0.7781427291728874,0.35294117647058826,0.6500000000000001
Edema,0.8488327592805205,0.42424242424242425,0.7500000000000002
Effusion,0.7143182335533804,0.3076923076923077,0.7000000000000002
Emphysema,0.7691176470588235,0.2857142857142857,0.8000000000000002
Fibrosis,0.83003300330033,0.3870967741935484,0.6500000000000001
Hernia,0.9178743961352657,0.3448275862068966,0.6000000000000002
Infiltration,0.7034317637669593,0.43243243243243246,0.5000000000000001
Mass,0.6502024291497976,0.26229508196721313,0.6000000000000002
Nodule,0.6246843434343434,0.21621621621621623,0.5500000000000002
Pleural_Thickening,0.6076732673267328,0.2727272727272727,0.8000000000000002
Pneumonia,0.567479674796748,0.18181818181818182,0.8500000000000002
Pneumothorax,0.8314907872696817,0.41379310344827586,0.7000000000000002
