Class,AUC,F1,Threshold
Atelectasis,0.7192234848484849,0.32098765432098764,0.6000000000000002
Cardiomegaly,0.639751552795031,0.1111111111111111,0.7500000000000002
Consolidation,0.7733651836369065,0.3384615384615385,0.6000000000000002
Edema,0.8687332567929583,0.4186046511627907,0.7000000000000002
Effusion,0.7803323469155475,0.336,0.45000000000000007
Emphysema,0.7397058823529412,0.3076923076923077,0.7000000000000002
Fibrosis,0.7128712871287128,0.2,0.6000000000000002
Hernia,0.8757763975155279,0.5217391304347826,0.6000000000000002
Infiltration,0.6818834796488428,0.4044943820224719,0.6000000000000002
Mass,0.7354925775978407,0.30434782608695654,0.6000000000000002
Nodule,0.6799242424242424,0.23076923076923078,0.6500000000000001
Pleural_Thickening,0.5585808580858085,0.21739130434782608,0.6000000000000002
Pneumonia,0.6563685636856369,0.26666666666666666,0.8000000000000002
Pneumothorax,0.88107202680067,0.4,0.7000000000000002
